ZIP,LETTERS,BUNDLES

54585,1241,124
57755,351,35
81104,2124,212
95615,46,3
95819,12,1
95864,12,1

100xx,16,1
101xx,10,1
104xx,15,1
105xx,10,1
106xx,13,1
107xx,13,1
108xx,10,1
109xx,14,1
110xx,10,1
111xx,13,1
113xx,11,1
115xx,12,1
116xx,15,1
118xx,11,1
119xx,10,1
120xx,12,1
121xx,14,1
122xx,10,1
123xx,12,1
124xx,11,1
126xx,12,1
129xx,13,1
130xx,15,1
131xx,10,1
132xx,11,1
133xx,12,1
135xx,16,1
136xx,14,1
138xx,10,1
139xx,13,1
140xx,13,1
143xx,12,1
144xx,10,1
145xx,15,1
146xx,13,1
150xx,13,1
151xx,13,1
152xx,11,1
153xx,11,1
154xx,10,1
155xx,12,1
156xx,10,1
159xx,10,1
160xx,10,1
163xx,15,1
165xx,12,1
166xx,12,1
168xx,15,1
169xx,14,1
170xx,17,1
171xx,11,1
172xx,11,1
173xx,16,1
174xx,14,1
177xx,13,1
179xx,10,1
181xx,15,1
182xx,10,1
183xx,17,1
184xx,17,1
185xx,12,1
188xx,11,1
189xx,12,1
191xx,11,1
192xx,18,1
193xx,10,1
195xx,13,1
196xx,12,1
197xx,14,1
198xx,10,1
199xx,17,1
200xx,13,1
201xx,19,1
202xx,10,1
203xx,14,1
204xx,12,1
206xx,12,1
207xx,12,1
210xx,12,1
211xx,10,1
214xx,13,1
215xx,14,1
216xx,13,1
217xx,16,1
219xx,15,1
222xx,13,1
224xx,16,1
226xx,14,1
228xx,12,1
230xx,12,1
231xx,10,1
232xx,13,1
233xx,13,1
235xx,12,1
236xx,11,1
239xx,15,1
240xx,15,1
241xx,16,1
244xx,11,1
251xx,10,1
252xx,14,1
254xx,15,1
257xx,14,1
259xx,15,1
261xx,10,1
264xx,14,1
265xx,11,1
266xx,14,1
267xx,13,1
268xx,16,1
269xx,13,1
270xx,11,1
271xx,10,1
273xx,11,1
274xx,13,1
275xx,13,1
276xx,15,1
277xx,11,1
279xx,13,1
280xx,13,1
281xx,11,1
284xx,13,1
286xx,17,1
288xx,13,1
290xx,12,1
291xx,10,1
292xx,17,1
294xx,12,1
295xx,11,1
296xx,12,1
297xx,14,1
298xx,16,1
300xx,15,1
301xx,11,1
302xx,11,1
303xx,22,2
304xx,15,1
305xx,14,1
307xx,10,1
308xx,10,1
310xx,11,1
311xx,15,1
314xx,13,1
315xx,14,1
316xx,12,1
317xx,10,1
318xx,10,1
319xx,10,1
320xx,13,1
321xx,18,1
323xx,12,1
324xx,13,1
325xx,11,1
326xx,15,1
327xx,14,1
328xx,10,1
329xx,12,1
330xx,16,1
331xx,13,1
332xx,12,1
334xx,12,1
335xx,16,1
337xx,10,1
339xx,11,1
341xx,13,1
342xx,18,1
344xx,10,1
345xx,17,1
346xx,10,1
348xx,11,1
349xx,22,2
350xx,13,1
353xx,13,1
354xx,10,1
356xx,13,1
357xx,10,1
358xx,13,1
359xx,13,1
360xx,10,1
361xx,17,1
362xx,12,1
363xx,10,1
364xx,11,1
365xx,13,1
366xx,13,1
367xx,11,1
368xx,11,1
369xx,12,1
370xx,12,1
372xx,14,1
373xx,10,1
374xx,11,1
375xx,11,1
376xx,10,1
378xx,14,1
379xx,14,1
380xx,15,1
381xx,10,1
382xx,20,2
383xx,10,1
384xx,10,1
385xx,12,1
388xx,18,1
389xx,10,1
390xx,11,1
391xx,15,1
393xx,13,1
394xx,13,1
395xx,12,1
396xx,12,1
397xx,10,1
398xx,11,1
403xx,13,1
406xx,13,1
407xx,11,1
411xx,10,1
413xx,10,1
414xx,13,1
415xx,12,1
416xx,16,1
417xx,15,1
418xx,15,1
419xx,11,1
422xx,12,1
423xx,12,1
424xx,10,1
425xx,11,1
427xx,16,1
431xx,12,1
432xx,10,1
434xx,11,1
435xx,12,1
436xx,15,1
438xx,12,1
439xx,12,1
441xx,11,1
443xx,10,1
444xx,10,1
445xx,11,1
446xx,11,1
448xx,13,1
449xx,12,1
450xx,16,1
451xx,12,1
453xx,13,1
455xx,12,1
457xx,14,1
458xx,14,1
459xx,11,1
460xx,14,1
461xx,12,1
462xx,16,1
463xx,13,1
464xx,11,1
465xx,18,1
466xx,14,1
469xx,10,1
470xx,10,1
472xx,11,1
473xx,16,1
475xx,12,1
476xx,14,1
477xx,11,1
479xx,13,1
480xx,15,1
482xx,10,1
485xx,11,1
486xx,10,1
487xx,12,1
489xx,11,1
491xx,11,1
493xx,13,1
494xx,11,1
495xx,11,1
497xx,12,1
499xx,12,1
500xx,13,1
504xx,16,1
505xx,12,1
506xx,15,1
507xx,10,1
511xx,11,1
512xx,12,1
513xx,17,1
514xx,10,1
516xx,13,1
517xx,10,1
519xx,15,1
520xx,12,1
522xx,14,1
523xx,10,1
525xx,10,1
527xx,15,1
528xx,17,1
530xx,12,1
531xx,13,1
532xx,12,1
534xx,11,1
535xx,13,1
536xx,11,1
537xx,10,1
538xx,14,1
540xx,13,1
541xx,11,1
545xx,13,1
546xx,11,1
550xx,12,1
551xx,11,1
554xx,11,1
555xx,17,1
556xx,12,1
557xx,12,1
558xx,11,1
560xx,11,1
562xx,12,1
563xx,10,1
564xx,18,1
565xx,12,1
