"COUNTY: AITKIN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Aitkin","Libby",487,453,35,6.3
"Big Pine","Cutler",614,259,78,11.5
"Big Sandy","McGregor",6526,3067,84,5
"Birch","Aitkin",421,421,8,3
"Blind","Aitkin",370,359,17,6
"Cedar","McGrath",232,215,18,2.5
"Cedar","Aitkin",1769,405,105,5.8
"Clear","Glen",562,363,24,15.5
"Dam","Aitkin",642,256,48,10.5
"Elm Island","Aitkin",522,389,25,"n/a"
"Esquagamah","Palisade",853,520,31,4
"Fleming","Palisade",296,290,15,"n/a"
"Flowage","McGregor",705,"n/a",8,2
"Farm Island","Bennettville",2054,883,56,11
"Gun","Palisade",730,292,44,7.5
"Hammal","Aitkin",374,262,44,10
"Hanging Kettle","Aitkin",302,142,35,"n/a"
"Hill","Hill City",907,354,48,7.6
"Island","Tamarack",243,194,25,6.5
"Little Pine","Aitkin",220,103,44,12.9
"Lone","Aitkin",448,148,60,25.8
"Long","Glen",415,120,116,"n/a"
"Mallard","Aitkin",417,417,5,"n/a"
"Minnewawa","McGregor",2512,2286,21,3
"Nord","Aitkin",412,272,29,10.5
"Portage","McGregor",316,313,18,6
"Rabbit","Glen",214,77,51,8
"Rat","Palisade",405,389,21,5.5
"Ripple","Aitkin",556,295,39,"n/a"
"Rock","McGregor",317,317,13,4.8
"Round","Tamarack",577,375,27,"n/a"
"Round","Aitkin",633,475,59,"n/a"
"Round","Garrison",767,322,125,"n/a"
"Sissabagama","Aitkin",365,219,37,6.5
"South Big Pine","Finlayson",372,96,28,9
"Spirit","Bennettville",530,260,49,12
"Sugar","Glen",398,267,45,13
"Swamp","Glen",273,273,5,4
"Thornton","Deerwood",216,203,21,9
"Vanduse","Palisade",230,189,27,"n/a"
"Waukenabo","Palisade",644,292,38,5.5
"White Elk","Swatara",854,"n/a",4,4
"Wilkins","Palisade",372,106,39,"n/a"
"Return to the top",,,,,
"COUNTY: ANOKA",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Centerville","Centerville",455,276,19,3.2
"Coon"," ",1259,1098,27,6.75
"George","St Francis",495,391,32,13.75
"Ham","Ham Lake",174,160,22,6.8
"Linwood","Wyoming",559,475,42,4
"Martin","Wyoming",234,140,20,1.5
"Peltier","Centerville",465,412,18,2.8
"Reshanau","Centerville",336,336,16,"n/a"
"Rice","Lino Lakes",442,442,5,"n/a"
"Round","Anoka",266,266,15,"n/a"
"Return to the top",,,,,
"COUNTY: BECKER",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Abbey","Detroit Lakes",269,269,7,"N/A"
"Bad Medicine","Ponsford",799,288,84,20
"Beseau","Lake Park",226,120,27,12
